ckpt,task,seed,score,passed
16,simple_075,46,100.00,True
16,simple_085,46,66.67,False
16,simple_094,46,100.00,True
16,simple_098,46,33.33,False
17,simple_019,42,66.67,False
17,simple_038,42,25.00,False
17,simple_059,42,66.67,False
17,simple_075,42,100.00,True
17,simple_085,42,100.00,True
17,simple_094,42,100.00,True
17,simple_098,42,33.33,False
17,simple_019,43,66.67,False
17,simple_038,43,100.00,True
17,simple_059,43,66.67,False
17,simple_070,43,33.33,False
17,simple_075,43,100.00,True
17,simple_085,43,100.00,True
17,simple_094,43,100.00,True
17,simple_098,43,33.33,False
17,simple_019,44,83.33,False
17,simple_038,44,25.00,False
17,simple_059,44,100.00,True
17,simple_070,44,100.00,True
17,simple_075,44,66.67,False
17,simple_085,44,66.67,False
17,simple_094,44,100.00,True
17,simple_098,44,33.33,False
17,simple_019,45,66.67,False
17,simple_038,45,25.00,False
17,simple_059,45,100.00,True
17,simple_070,45,100.00,True
17,simple_075,45,66.67,False
17,simple_085,45,66.67,False
17,simple_094,45,100.00,True
17,simple_098,45,33.33,False
17,simple_019,46,66.67,False
17,simple_038,46,100.00,True
17,simple_059,46,66.67,False
17,simple_070,46,33.33,False
17,simple_075,46,100.00,True
17,simple_085,46,33.33,False
17,simple_094,46,100.00,True
17,simple_098,46,33.33,False
18,simple_019,42,100.00,True
18,simple_038,42,100.00,True
18,simple_059,42,100.00,True
18,simple_070,42,100.00,True
18,simple_075,42,100.00,True
18,simple_085,42,66.67,False
18,simple_094,42,100.00,True
18,simple_098,42,100.00,True
18,simple_019,43,100.00,True
18,simple_038,43,25.00,False
18,simple_059,43,100.00,True
18,simple_070,43,66.67,False
18,simple_075,43,100.00,True
18,simple_085,43,33.33,False
18,simple_098,43,100.00,True
18,simple_019,44,100.00,True
18,simple_038,44,100.00,True
18,simple_059,44,100.00,True
18,simple_070,44,33.33,False
18,simple_075,44,100.00,True
18,simple_085,44,66.67,False
18,simple_094,44,33.33,False
18,simple_098,44,33.33,False
18,simple_019,45,66.67,False
18,simple_038,45,25.00,False
18,simple_059,45,100.00,True
18,simple_070,45,100.00,True
18,simple_075,45,100.00,True
18,simple_085,45,66.67,False
18,simple_098,45,33.33,False
18,simple_019,46,100.00,True
18,simple_038,46,25.00,False
18,simple_059,46,100.00,True
18,simple_070,46,100.00,True
18,simple_075,46,100.00,True
18,simple_098,46,33.33,False
19,simple_019,42,66.67,False
19,simple_038,42,100.00,True
19,simple_059,42,100.00,True
19,simple_070,42,33.33,False
19,simple_075,42,100.00,True
19,simple_085,42,66.67,False
19,simple_094,42,100.00,True
19,simple_098,42,33.33,False
19,simple_019,43,66.67,False
19,simple_038,43,75.00,False
19,simple_059,43,100.00,True
19,simple_070,43,100.00,True
19,simple_075,43,100.00,True
19,simple_085,43,66.67,False
19,simple_094,43,100.00,True
19,simple_098,43,66.67,False
19,simple_019,44,66.67,False
19,simple_038,44,100.00,True
19,simple_059,44,100.00,True
19,simple_070,44,100.00,True
19,simple_075,44,100.00,True
19,simple_085,44,66.67,False
19,simple_094,44,100.00,True
19,simple_098,44,33.33,False
19,simple_019,45,100.00,True
19,simple_038,45,100.00,True
19,simple_059,45,100.00,True
19,simple_070,45,66.67,False
19,simple_075,45,100.00,True
19,simple_085,45,100.00,True
19,simple_094,45,100.00,True
19,simple_098,45,66.67,False
19,simple_019,46,100.00,True
19,simple_038,46,100.00,True
19,simple_059,46,100.00,True
19,simple_070,46,100.00,True
19,simple_075,46,100.00,True
19,simple_085,46,66.67,False
19,simple_094,46,100.00,True
19,simple_098,46,66.67,False
20,simple_019,42,66.67,False
20,simple_038,42,100.00,True
20,simple_059,42,100.00,True
20,simple_070,42,33.33,False
20,simple_075,42,100.00,True
20,simple_085,42,66.67,False
20,simple_094,42,100.00,True
20,simple_098,42,100.00,True
20,simple_019,43,100.00,True
20,simple_038,43,25.00,False
20,simple_059,43,100.00,True
20,simple_070,43,33.33,False
20,simple_075,43,100.00,True
20,simple_085,43,33.33,False
20,simple_094,43,100.00,True
20,simple_098,43,100.00,True
20,simple_019,44,66.67,False
20,simple_038,44,50.00,False
20,simple_059,44,100.00,True
20,simple_070,44,33.33,False
20,simple_075,44,33.33,False
20,simple_085,44,33.33,False
20,simple_094,44,33.33,False
20,simple_098,44,66.67,False
20,simple_019,45,100.00,True
20,simple_038,45,100.00,True
20,simple_059,45,100.00,True
20,simple_070,45,100.00,True
20,simple_075,45,100.00,True
20,simple_085,45,100.00,True
20,simple_094,45,100.00,True
20,simple_098,45,66.67,False
20,simple_019,46,100.00,True
20,simple_038,46,100.00,True
20,simple_059,46,100.00,True
20,simple_070,46,100.00,True
20,simple_075,46,100.00,True
20,simple_085,46,100.00,True
20,simple_094,46,33.33,False
20,simple_098,46,33.33,False
21,simple_019,42,66.67,False
21,simple_038,42,100.00,True
21,simple_059,42,100.00,True
21,simple_070,42,100.00,True
21,simple_075,42,33.33,False
21,simple_085,42,33.33,False
21,simple_094,42,100.00,True
21,simple_098,42,33.33,False
21,simple_019,43,66.67,False
21,simple_038,43,100.00,True
21,simple_059,43,100.00,True
21,simple_070,43,100.00,True
21,simple_075,43,100.00,True
21,simple_094,43,33.33,False
21,simple_098,43,33.33,False
21,simple_019,44,100.00,True
21,simple_038,44,25.00,False
21,simple_070,44,33.33,False
21,simple_075,44,66.67,False
21,simple_085,44,66.67,False
21,simple_094,44,100.00,True
21,simple_098,44,33.33,False
21,simple_019,45,66.67,False
21,simple_038,45,100.00,True
21,simple_059,45,66.67,False
21,simple_070,45,66.67,False
21,simple_075,45,100.00,True
21,simple_085,45,33.33,False
21,simple_094,45,100.00,True
21,simple_098,45,33.33,False
21,simple_019,46,66.67,False
21,simple_038,46,100.00,True
21,simple_059,46,100.00,True
21,simple_070,46,66.67,False
21,simple_075,46,100.00,True
21,simple_085,46,100.00,True
21,simple_094,46,100.00,True
21,simple_098,46,33.33,False
22,simple_019,42,66.67,False
22,simple_038,42,100.00,True
22,simple_059,42,100.00,True
22,simple_070,42,33.33,False
22,simple_075,42,100.00,True
22,simple_085,42,66.67,False
22,simple_098,42,66.67,False
22,simple_019,43,66.67,False
22,simple_038,43,100.00,True
22,simple_059,43,100.00,True
22,simple_070,43,100.00,True
22,simple_085,43,100.00,True
22,simple_098,43,66.67,False
22,simple_019,44,100.00,True
22,simple_038,44,25.00,False
22,simple_059,44,100.00,True
22,simple_070,44,33.33,False
22,simple_075,44,66.67,False
22,simple_085,44,100.00,True
22,simple_094,44,100.00,True
22,simple_098,44,66.67,False
22,simple_019,45,100.00,True
22,simple_038,45,75.00,False
22,simple_059,45,100.00,True
22,simple_070,45,100.00,True
22,simple_075,45,100.00,True
22,simple_085,45,66.67,False
22,simple_094,45,100.00,True
22,simple_098,45,33.33,False
22,simple_019,46,66.67,False
22,simple_038,46,25.00,False
22,simple_059,46,66.67,False
22,simple_070,46,100.00,True
22,simple_075,46,100.00,True
22,simple_085,46,33.33,False
22,simple_094,46,100.00,True
22,simple_098,46,33.33,False
23,simple_019,42,100.00,True
23,simple_038,42,25.00,False
23,simple_059,42,66.67,False
23,simple_070,42,33.33,False
23,simple_075,42,66.67,False
23,simple_094,42,100.00,True
23,simple_098,42,33.33,False
23,simple_019,43,66.67,False
23,simple_038,43,25.00,False
23,simple_059,43,100.00,True
23,simple_070,43,66.67,False
23,simple_075,43,100.00,True
23,simple_085,43,33.33,False
23,simple_094,43,100.00,True
23,simple_098,43,66.67,False
23,simple_019,44,66.67,False
23,simple_038,44,100.00,True
23,simple_059,44,100.00,True
23,simple_070,44,100.00,True
23,simple_075,44,66.67,False
23,simple_094,44,100.00,True
23,simple_098,44,66.67,False
23,simple_019,45,66.67,False
23,simple_038,45,100.00,True
23,simple_059,45,66.67,False
23,simple_070,45,66.67,False
23,simple_075,45,100.00,True
